CONTENT,label
cant stop shuffle,0
dang dat little kid gat move,0
miss song,0
love,0
check video youtubebr got ta dance blast every time hear song love itbr,1
man song really get bone one minute nearly dosing sleep next shuffling like crazy hot foot xd,0
shake golden black robot really partying,0
take look video youtube,1
cooooooooooooolllllllllll,0
wow,0
oh shit uploaded birthday finally birthday isnt curse day maylaysia airline went missing thought birthday curse xd,0
everyday shufflin,0
everyday shufflin,0
thumb fefefefefegelein brought,1
every day shuffling,0
cool song ever good thing,0
world shuffle,0
love guy love song,0
funny listen rock death metal like,0
shuffling way lmfao like one wish could shuffle like crazy dude,0
viewed video guess,0
favorite song,0
like songbr,0
wow dance show,0
awesome,0
like ur watchin,1
good time,0
laughing fucking as,0
see back ask people got like song seems like gangnam style copied style though might yea,0
wait saw kid kidding,0
party rock due duel,0
fucking love omg,0
good dance companion front whole school,0
check video youtube,1
could finally spongebob started yesterday xd,0
thumb watching,0
love,0
lmfao party rock anthem ft lauren bennett goonrock,0
hate laura bennett come,0
subscribe channel,1
party da tonight,0
best partying,0
omg,0
guy jacket sleeve sleeveless arm,0
best song ever,0
take look video youtubbr,1
like step,0
let get video one billion view,0
head like year ago time fly,0
commentsoh lanta,0
still shuffling song,0
check video youtube,1
df lauren bennett,0
socool,0
awesome,0
coolwhy heard,0
xd going crazy fuckin crazy watchin brah,0
shuffled listening song illness spreading,0
way guy warring robot head,0
like song,0
almost billion view nice,0
sorry hatersbr br br br br br br br br br br br br party rock en,0
like itbr,0
gooooood,0
,0
likeeeeeeeee,0
shuffle,0
lol funny love,0
good party,0
like comment watching,1
check video youtube,1
check playlist youtube,1
check video youtube,1
share thought,1
subscribe plzzzzzzz plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1
youtube anyone subscribe subscribe back also start uploading youtube video relnofollow classothashtag href,1
guy lmfaois going reunion expo idaho garden going performe live going press conference answer question live channel got publishing right subscribe channel watch whole thing believe look hope see true fan yes free,1
iiiiiiiiiii love shake song oh sorry every shake song like watch subscribe never unlike brooooo shake,1
check playlist youtubem,1
check video youtubebr br br br,1
check video youtube,1
watching subscribe,1
come subscribe,1
subscribe channel please lol pro play,1
check video youtube,1
check video youtube,1
wan na see many people like comment give month,1
please like comment watching,1
check video youtube,1
like comment kill,1
check video youtube,1
check playlist youtube,1
check video youtube,1
check video youtube,1
check video youtube,1
check video youtubefb,1
school drop out knew friend decided drop school think need id card certification prove educated clean criminal record talented person work entertainment field worldwide think could rich entertainer consolidating actor actress well singer share profit,1
check video youtube,1
check video youtube,1
check video youtube,1
check playlist youtubebr br br br,1
check video youtube,1
check playlist youtubebr br,1
check video youtube,1
check video youtube,1
check video youtube,1
view br best youtube videobr subscribe channel pleasebr thank br melhor vdeo youtubebr se inscreva meu canal por favorbr obrigado br mejor video youtubebr si suscriba mi canal por favorbr gracias br meilleur vido youtubebr si vous abonner chane se il vous platbr merci,1
party next share,1
lol check chanell subscribe please want sub thats im nearly,1
check video youtube,1
check video youtube,1
subscribe leave name sub back,1
check video youtube,1
please subscribe channelthanks,1
hey guy im year old remixer producer want guy help checking video sure love music love subscribe know,1
check melbourne shuffle everybody,1
subscribe channel,1
please suscribe bored subscriber try get,1
subscribe watching,1
check video youtube br,1
hey subscribe mefor peace world,1
check playlist youtubea,1
check video youtube,1
check playlist youtube,1
like comment reason,1
omg first video youtube hit billion view like comment agree,1
br please help get subscriber end night thx,1
like comment watching video big bang happenedbr,1
check playlist youtubebr br,1
check playlist youtube,1
br br br br br br spooked spookinatibr br share people unspookedbr br br br br br br br,1
like comment watching,1
help get subscriber tomorrowbr br br br br br br br br br br joking get butt hurt,1
check video youtube,1
like comment ur watching,1
check video youtube,1
like comment please,1
check playlist youtube,1
like subscribe,1
like comment watching phone,1
cool video lmfaovevo check shuffling video channel get chance much appreciated cheer relnofollow classothashtag href,1
check playlist youtube,1
check playlist youtube tried,1
subscribe span classproflinkwrapperspan classproflinkprefixspana classproflink href thot robot dude epic awsome,1
watching subscribe span classproflinkwrapperspan classproflinkprefixspana classproflink href,1
check playlist youtube,1
like comment still jam song year,1
subscribe,1
check video youtube,1
video viewsbr channel got subscriber,1
check video youtube,1
subscribe chanell,1
los invito subscribirse mi canal,1
check video youtube,1
check playlist youtube,1
check video youtubeopponents mm br br br br br,1
check video youtubebr br,1
subscriber sky diving help reach goal trust doctor,1
check video youtube,1
check video youtube,1
check video youtube,1
check playlist youtube,1
check playlist youtube,1
check video youtube,1
href,1
check video youtube,1
need money check channel subscribesoon post get,1
check playlist youtube,1
like comment reason,1
youtube comment nut shellbr br firstbr clubbr skip href close eyesbr advertisementsbr like comment reasonbr christianity arguementsbr religious arguementsbr console warsbr pcmasteracebr trollsbr quothow million view video there online people earthbr complaintsbr pewdiepie fangirlsbr minecraft scrubsbr rmontageparodiesbr br br shit,1
check playlist youtube,1
check video youtube,1
please become first subscriber thank,1
get view subscriber reason,1
check video youtube,1
check video youtube,1
hello russia come channel subscribe,1
check dance video disappointed relnofollow classothashtag href,1
men stop naive idiot believing love believing woman actually respect want fulfilling drama fee life check mgtow many channel youtube chose give information needed caution men enjoy disposable provider utility,1
plea subscribe game videobr iibr som tip contact kik skypebr iibr kik skype iibr plea subscribe kashoo gaming,1
check playlist youtube,1
check video youtube,1
check playlist youtube,1
check video youtubebr br br br br br,1
br attention subscribe channelbr br graciasbr,1
check video youtube,1
check video youtube,1
check video youtube,1
check video youtube,1
href,1
check video youtube,1
check playlist youtubea,1
check video youtube,1
check playlist youtubehbbhhhgh,1
check playlist youtube,1
like subscrib watch,1
check video youtube,1
check video youtubehjalp,1
check video youtube,1
check video youtube,1
check video youtube,1
check video youtube,1
check video youtube,1
check video youtube,1
check video youtubeqq,1
check video youtube,1
href please donate help pitbull please need dollar take vet,1
check video youtube,1
check video youtube,1
dear friend please subscribe channel glad see virucide,1
check video youtube,1
check video youtube,1
subscribe channel br tweet amp follow twitter therealterrell br follow back,1
want sub tell channel subscribe couple exception,1
check playlist youtube,1
subscribe subscribe back,1
check playlist youtube,1
check playlist youtubepl,1
check video youtube,1
check video youtube,1
check video youtube,1
check video youtubelo,1
check video youtube,1
check video youtube,1
check video youtube,1
check video youtube,1
subscribe channel yo dj feelz,1
hey guy subscribe chanel subscribe back like vids br br,1
check video youtube,1
check video youtube,1
white people going extinct information subscribe channel search video quotwhite genocidequot thank,1
check video youtube,1
check video youtube,1
check video youtube,1
subscriber please,1
yo like song fricking beast anywon herd see mee rollin woke new buggti check nuketown rap shooting see nice quick scoping thing training faze adoult freind sang freinds house rap going fun thing,1
hi everyone cool check sexy know,1
check app solve partydrunk problemsbr href,1
check video youtubeit old track still bad,1
check youtube channel cool beatboxing,1
check video youtube,1
hi everyone like music check music channel lexis band uploading song cover soon miss please subscribe asit help u lot take one click gt,1
subscribe,1
ummm hit subscriber make minecraft video help checking,1
sup gu video people love party rock thanks watching please subscribe,1
hey guy jaylan wanted everybody know yall subscribe please would great new gaming channel notuploaded yetbut upload hit sub thank,1
great subscribe,1
check video youtubejjiwajwkajajqjaubkm,1
check video youtube,1
subscriber look view million wtf,1
check video youtube,1
check youtube channel rap,1
check video youtube,1
check video youtu,1
lmfao crazy dope check music channel minute would mean lot much love,1
check video youtube,1
everyday subscribe,1
man check rap channel im better rapper nigger fool,1
go check video,1
like comment,1
check video youtube,1
subscribe,1
check video youtubebr looking wood pilebr anyone seen bout pie br,1
hahaa dance tighttttbr br know got time demo manquot check stuffbr br slapper slapper banger click link peep game enjoybr br href,1
check music nigga,1
check video youtube,1
check funny video quotcereal box knock babyquot channel,1
subscribe think quotswagquot fucking stupid,1
tuto subscribe channel sign please thank anything sign lot good video usually,1
abomination subscribe agree party channel cool light,1
like comment guy started new channel get subscriber tonight ill paypal giveaway like comment friend see others also entered go,1
check hood doh flixter nossnevs,1
nezo edbr likeampshare page facebook please,1
hey british youtuberbr upload weekly br would mean world could subscribebr thanksjoycebr,1
subscribe channel,1
hi guy please check vids promos subscribe,1
hey plz check music video thanks,1
check shit channelbr br br subscribe like,1
good video,0
good song,0
every bady yust good time,0
people like shit hahahahah pbr even real music computerbased musicbr well done music industry,0
love song much,0
one make wan na party like lmfao wan na rage every time one song come band quoton rock incquot kid know party,0
best song ever,0
best song ever,0
check free stuff watching video filling surveysbr br href,1
love song make happy,0
ooooo shuffllllllllllllllllllllllinnnnn,0
awesome,0
learned shuffle,0
best song saw,0
watch sound,0
looooooooove song,0
everyone please subscribe channel go look video,1
everyone please subscribe channel go look video,1
everyone please go subscribe channel loon video,1
like comment reason,1
love song,0
song awesome guy best love video hilarious lol im getting popular fast rap meaning thumb piss next water toilet doesnt make noise,1
many thumb louis saving day,1
nice,0
lovely girl talk xxx,1
always end coming back songbr,0
sister received new relnofollow classothashtag href youtube view right thing used pimpmyviews com,1
cool,0
hello palastine,1
wow video almost billion view know popular,0
go check rapping video called four wheel please,1
almost billion,0
aslamu lykum pakistan,1
eminem idol people espaa mexico latinoamerica,0
help get sub please,1
love song,0
alright lady like song check john rage smoking hot rapper coming game better eminem lyrically hotter hear song channel,1
perfect example abuse husband thing feminist definitely agree song wellif see going die sayin,0
boyfriend charlie tv show lost,0
href,1
take look video youtube,1
check channel nice beat,1
rihanna eminem together unstoppable,0
check playlist youtube,1
song rape cheating br br br br br br br br br br basically,0
like please,1
love song believe year ago get old though,0
omg look like piece mirror harry potter deathly hallowsbr either house sirius black,0
shared first song quoti want youquot hope like take listen href,1
come check musicim spamming load video try get music across new people,1
check playlist youtube,1
huh hyuck hyuck im special watching im australia something give attention please im rapper dream im gon na share google plus im cool,1
exactly want bewatching favourite rapper tv,0
rihanna absolutely gorgeous video,0
check video youtubebr br love song good never go back always remember passion never want go back dysfunctional insanity goal live happy live insane,1
love someone soo much love way lie,0
one best song music history,0
check playlist youtube,1
check video youtube,1
check video youtube,1
noi hate way lie,0
fuck eminem bieber best,0
check playlist youtubechcfcvzfzfbvzdr,1
check playlist youtube,1
im gon na share little ryhme canibus blow eminem away quadrillion time especially category intelligent thing mind learned rapped forgot eminem spit first rymeluv ya linz,1
check video youtube,1
check video youtubebr br br,1
check new remix br click click,1
check playlist youtube,1
personally never abusive relationship probably never hit woman mom dad used hit mom left relate writing one moment subscribe hear every fan count,1
love,0
haha believe many kid listen eminem kid know drug end high jail wonder never ended od,0
plese subscribe,1
check video youtube,1
aye homies check remix cent life line started youtube channel way working hard give u feed back latest song guy think like show support,1
best song im gone mampm,0
check video youtube,1
go eminem,0
eminem rihanna sing song well,0
subscribe secret video,1
check video youtube,1
check video youtubebut rhinnah,1
subscribe clean eminem,1
hey youtubers really appreciate took time read year old boy want successful musician music world dont money advertise channel could visit channel comment video subscribe would great second life thank people gave chance really appreciate,1
love way lie quot,0
check video youtube,1
guy win dollar sleeping love planet full retard,1
check cover song,1
check video youtube,1
goot,0
im still listening,0
watched eminem video beat afraid,0
check channel funny skit thanks,1
hahahahah like vine subscribe daily vine,1
please read please country singer trying become someone would like video please type boy round country girl computer wasting tear et please subscribe like,1
check video youtube,1
guy share video must view share facebook group page,1
check eminem rap god lyric video,1
love song,0
rihana love,0
like comment type,1
charlie lostbr,0
fuck cheat megan fox,0
megan fox,0
love music,0
like comment type,1
,0
hothot,0
check video youtube,1
wow justin bieber better thats buy medication always share half wited money alfred sadly enough attention hog swamp as eating disorder filled sassy mouse flaming hot cheetos eat power samurman,1
fucking song like oreo white part good,0
near one eminems actual best song real fan know im talking untitled cold wind blow welcome hell elevator business wtp almost famous life rock bottom apology song dance without way toy soldier mosh insane lt song top head better,0
finally someone share opinion tried really hard like gangnam style even get dance either song like popular gangnam style least make sense,1
check new hot video dante called riled,1
check new hot video dante called riled,1
still listeningstill pleasure,0
facebook password hack working software hacking facebook password free download break password minute virus free detail free download please visit,1
love,0
time past fast,0
hey everyone dakoda bigelow year old singer rapper producer gained view far really need view like subscriber order make check brand new music video song gone also check new song called deaf moment time would greatly appreciated regret please thumb people see thanks support,1
fuck yeah,0
eminem ginius stop,0
rap cool rihanna sttuupid,0
gon na stand hear cry,0
love,0
feel emotion songgod damn,0
go check rant vi eminem,1
megan fox eminem together video doesnt get better,0
check video youtube relnofollow classothashtag href relnofollow classothashtag href relnofollow classothashtag href relnofollow classothashtag href,1
yo know nobody probably even read im gon na type way hope least one person rapper dream know like world please check music subscribe want thanks would love nothing decent following youtube anyone reading could press quotthumbs upquot people see simple button press could make dream come true thank,1
best song,0
subscribe feed,1
everyone go share youtu fbtwitterg vote eminem become artist year first ever youtube music award get method cheat internet roulette eminems video shady artist year,1
check dope new song monster ftw,1
check sexy video,1
check sexy video,1
charlie lost,0
anyone else notice megan fox video,0
need instagram follower photo like check igblastcom get em minute,1
check new hot video dante called riled,1
check new hot video dante called riled,1
yo know nobody probably even read imma type way hope least one person rapper dream know like world please check music subscribe want thanks would love nothing decent following youtube anyone reading could press quotthumbs upquot people see simple button press could make dream come true thank,1
please check song looking feedback supporter,1
watch video subscribe,1
subscribe daily vine,1
love,0
hay dakota earned subscribee,1
listencheck andrew guasch crazy sick like subscribe ill aftermath tde soon enough one love peace,1
check new hot video dante called riled,1
hate rap like song,0
love way lie driveshaft,0
,0
view near,0
guy check extraordinary website called firepacom make money online start working home today making per month firepacom visit firepacom check lake chillpal sturdy astauand johackle chorenn ethosien changeable public noxu ploosnar looplab hoppler delicious false scitenoa locobot heartbreaking thirsty reminiscent,1
song nice,0
guy check extraordinary website called firepacom make money online start working home today making per month firepacom visit firepacom check lake busyglide sasaroo sore chillpal axiomatic naperone mere undesirable agreeable encouraging imperfect roasted insidious modgone quickest trelod keen fresh economic bocilile,1
sick music sick female,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake victorious luxuriant alcoholic responsible unbiased yoffa ociramma ociramma handsome arrowgance mizuxe boaconic sophisticated illfated spourmo chubby hioffpo probable singlewave,1
love trop fort votre clip,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake waratel misty exciting swoquix acaer chillpal tupacase arrowgance lively hard idiotic bored cool ablaze crabby aloidia cheilith feandra useless ploosnar,1
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake ignorant wavefire reiltas astauand skizzle jovaphile swooflia grynn excellent slimy gabby nalpure lucky glozzom depressed better deep sinpad stereotyped toximble,1
eminem et rihana trop belle chanson,0
song better monster eminem,0
good boybr krean like eminem,0
wonderful,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake magnificent noodile unequaled moderock gogopo lulerain olielle zesty laughable accidental pepelexa delightful wiry toogit uncovered chesture woozy adhoc weak shallow,1
share artist year video win could see performance acceptance speech like comment everyone see year eminem,1
like comment share video em win ytma,1
check video youtubebr br eminem amazing,1
awesome song ever,0
love,0
long paragraph check song called quotfirequot,1
check video youtube,1
check video youtube href eminem ft rihanna love way lie,1
guy know part two song,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check memory ferirama besloor shame eggmode wazzasoft sasaroo reiltas moderock plifal shorogyt value scale qerrassa qiameth mogotrevo hoppler parede yboiveth drirathiel,1
hey charlie lost,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check wazzasoft industry sertave wind tendency order humor unelind operation feandra chorenn oleald claster nation industry roll fuffapster competition ociramma quality,1
check video youtube,1
gu song one worst fear life someone abusive towered live,0
watch youtube video quoteminem ytma artist yearquot plz share vote,1
made five year ago people still understand message song conveying understand domestic violence game woman like fictional one video exist living life man abuse still chooses stay love sexual feeling give quite sad actually,0
year still dont get music video help someone,0
please check new song music video ad play,1
tell u title like subscribe music fgw please,1
video kinda close million view br,0
fuck eminem,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check metal drew reflective effect expansion intervene hilarious bit sneeze witness smoke,1
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check innocent woman prioritize desire flight search sad polish tax zip omniscient record,1
year pop,0
sorry eminmem worthless wife beating bastard,0
eminem king rap micheal jackson king pop also wan na go hard wan na person first class fame check authenticviewscom famous within day yo,1
spousal abusue cool great,0
megan foxbecause similar,0
holy crap view,0
eminem rihanna,0
love song,0
nicei,0
like song much,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check flimsy slip facilitate manager noise set goal anxious regret actually loss retrieve smile,1
love mom,0
watching like,0
please check new song music video ad dont play,1
amazing song,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check wood photograph husky breath act retain delightful system rhythm fabricates scintillating harbor,1
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check cook officiates tax walk judge amount ink train valuable increase,1
check eminem amp kid cudi,1
like,0
yo guy sorry annoys check channel latest video like subscribe would nice,1
past christmas dad passed away help cope picked pen paper started write little know nearly month ago would bring today subscriber video view wrote released song yesterday friend mine tried commit suicide several time promise professionally produced music promise real lyric click picture thanks thumb others may see,1
name george let tell eminem idol inspiration listen growing never thou would love rap much thank helping find dream rap make youtube video yesterday covered song mockingbird channel worked really hard one favorite song please go check subscribe would mean world sorry spam hate eminem,1
love way lie featuring rhianna he awesome rapper shes awesome singer,0
eminem insperasen fav,0
eeeveryone could check channel dundundunnn,1
every collaboration know number,0
guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check answer rehabilitate blushing limit push depreciateds steel beautiful selection edit range,1
guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check view disclose macho lift letter frame thundering cause talk prevent conscious memory,1
good music,0
guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check jelly activates reflective distribution normal top synthesizes opinion victorious plant entertains language,1
need youtube subscriber mail hermann buchmair fb,1
bad realtionship like lol,0
video deserves view,0
,0
best song ever,0
could hear year,0
still watching,0
wish guy protective geeze,0
super rihanna,0
check channel,1
know maybe one read please type rapper dream know must see like million everyday please check music subscribe like thank would love nothing decent following youtube people anyone reading could give quotthumbs upquot might see simple button press could make dream come truethank time amp may god bless,1
rihanna beautiful amazing love much forever riri fan,0
fav,0
hey guy ignore please give chance name yuliya make cover started getting serious youtube september thats great challenge dream become singer youtube help keep please give chance thumb comment people see swear appreciate subscribe please love xoxo,1
check video youtube,1
every single one song brings back place never go back hurt bad inside,0
love song eminem rap god,0
sneakiestg good music hood muzik subscribe channel thanks support sneakiestg sneakiestg good music hood muzik subscribe channel thanks support sneakiestg,1
cried song bringing back hard memory,0
subcribe u subscribe back,1
song bad,0
check cover love way lie please,1
check fantasy music right gt good music man,1
guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check war illustrate exclusive space mountain refers helpless death tax review special music,1
guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check loud authority improves canvas mother repair uppity learning substantial cook derives harbor,1
guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check burst render symptomatic bite knowledge brief narrow thought eager sky transmit crush,1
guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check mammoth waste achieve shock limit reduce delicate minute meaty scale adapt oil,1
charlie lost,0
hell song already five year old remember first came jam,0
check channel im year old rapper,1
megan fox,0
wtf subscribe channel thanx,1
hey check channel please,1
admitting killed girlfriend,0
check tube keithlinscotts one word keithlinscotts tube com,1
check mummy chanel,1
want smack year boy forever,0
charlie heroin,0
fruit vegetable give longer lasting energy weight loss check,1
love song,0
megan fox gorg eminem truly rap god,0
rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix click subscribe,1
check video youtube,1
get view le subscriber lol,1
go check eminem survival,1
hey year old rapper texas rap quotpmwquot promise music disappoint search find listen track quotmemory lanequot released mixtape quotcrown mequot far nothing good review asking like subscribe view help catch dream could leave comment letting know think would much appreciated also thank,1
eminem get penny per view would million dollar,1
check leandrus playtime awesoooome,1
check video youtube,1
know maybe one read please type rapper dream know must see like million everyday please check music subscribe like thank would love nothing decent following youtube people anyone reading could give quotthumbs upquot might see simple button press could make dream come truethank time amp may god bless,1
dress like rihanna kpopcitynet largest discount fashion store world check quothollywood collectionquot dress like favourite star dress like rihanna kpopcitynet largest discount fashion store world check quothollywood collectionquot dress like favourite star,1
check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere,1
amazing song,0
,0
charlie lost,0
subscribe pls eminem fan,1
dude check psy,1
love thisthe talent eminem skylarworks well together,0
share video song beat psy gangnam style,1
thumb watching like,0
check remix molly ft whiz khalifa peace love,1
check channel please,1
working hard past day improve writingrecordingmixingperforming bar everyday im whole day today day today work hard verse everyday improve going way please subscribe channel help build fan base watch improvehelp get closer dream lyrical keep real leave promise please subscribe please like commment people see,1
believe watched brand new adult video clip rihanna screwing black basketball player check video right wish crazycelebnewseupn,1
check video subscribe like plzz,1
never get old best song ever,0
first fighting making,0
know maybe one read please type rapper dream know must see like million everyday please check music subscribe like thank would love nothing decent following youtube people anyone reading could give quotthumbs upquot might see simple button press could make dream come truethank time amp may god bless,1
hey guy please spent one minute im singer srilanka im old sooo like great singer one day hope would happen really life view video rate let know voice please help u guy closer living dream really know helped read comment heshe understand feeling thanks guy lv really much subscribe channel onece thank,1
yo guy im year old rapper started rapping please check site leave feedback subscribe also like comment see make channel big aswell,1
check video youtube,1
rap fan check big pun cover like comment much appreciated,1
love song moon rock,0
hello azerbaijanbr,0
great warning happen soon shaeel guy im old rapper trying get exposure live belgium one speaks english resort gay spam check latest track probably best audio isnt best im gon na invest real equipment next track please thumb others see hey dont check leave response like thanks advance guy part making dream come true notorious niko,1
hey guy im old rapper trying get exposure live belgium one speaks english resort gay spam check latest track probably best audio isnt best im gon na invest real equipment next track please thumb others see hey dont check leave response like thanks advance guy part making dream come true notorious niko,1
best rapper,0
hate rap,0
check channel see rihanna short mix,1
every weekend new lyric video eminem view like subscribe,1
songvideo trigger good,0
check new hot video dante called riled,1
meghan fox,0
ayyy guy please check rap video im im juss tryna get love please chrck thank,1
come subscribe channel please,1
awesome songcongratulations,0
come check music channel go check song quotlove mequot jemini amazing person thank check check still amazing person reading post,1
share like page win hand signed rihanna photo fb fan rihanna,1
share like page win hand signed rihanna photo fb fan rihanna,1
check page adam beat,1
look share video please,1
check video youtube,1
like amp subscribe,1
charlieee dddd saw lost understand,0
lady gtgt broken heart want understand guy better check underground book called power pussy amazon best book ever u girl ohand warning overlol,1
coffee lover please read check song wrote sing tube called coffee lovatype coffee lova like spell already tube hit enterthen look video titled coffee lova hit enter blast,1
hey guy please subscribe channel im young dedicated rapper post video everyday improve writeperformrecordmixeditpost everyday verse everyday barsto improve day whole year improve right day guy please like comment everyone see follow journeywatch improve everyday subscribe please lyrical keep real help reach dreamhelp build fan basethanks,1
many comment,0
getting view holy moly,0
best song,0
subscribe make music,1
song world even,0
hi loving,0
subscribe love eminem,1
lol thats guy animal planet lost girl megan fox think hahah,0
song true insane boy girl true people say guy never girl boy liers stop treating u girl way suck,0
love video,0
hello bulgaria,0
love rihanna subscribe,1
eminem rap easy boy,0
love rihanna subscribe,1
check music video chanel,1
check band page youtube killtheclockhd check original song including quotyour disguisequot,1
could guy please check channel hiphop beat,1
love song sooooooooooooooo much,0
everyone come check new gta gameplay right,1
check video youtube,1
hey guy cypher im year old rap life recently made second album desire ep please take moment check album youtube thank much reading every like comment subscription count,1
eminem love way lie,0
hey guy ready cypher back check video youtube new album check music tomorrow thanks reading,1
hey guy wouldnt mindcould check boy musicwe made real lyrical songsearch dna andrew guaschi appreciate leave real feedback keep hiphop alive,1
girl megan fox,0
freaking sad,0
hello made one eminem song channel could guy put like please need subscribe thanks,1
hey guy guy please subscribe channel young rapper really dedicated post video everyday post verse barspart songeveryday improve day right day whole year without missing one day guy please subscribe follow journey dream watch improve really mean lot thank let promise lyrical keep real,1
hey me young coming rapper wan na get music heard know spam wont get fame moment got way getting little attention please favour check channel drop sub enjoy im getting started really appreciate take time leave constructive criticism already got subscriber view first vid ive told potential,1
like lyric music video,0
hope everyone good spirit hard working student also passionate singer look foward day make music share cover check channel done cover miley cyrus imagine dragon lana del rey drake macklemore pink countless others subscribe want goal become famous inspire fyi spamming everyone right freedom speech thanks,1
check channel rap hip hop music,1
br,0
adam beat check page,1
relnofollow classothashtag href relnofollow classothashtag href relnofollow classothashtag href eminem love way lie ft rihanna href,1
im me aspiring young rapper high hope know click link check channel dont want well choice fact know dont click,1
looooved,0
need get billion view,0
hey everyone please take moment read work as hoping make music industry hard get people hear dont money advertisement exposure young artist dream goal like everybody else please take second visit channel dont like give chance prove talent also please take second life thumb comment would super helpful,1
amazing,0
almost billion,0
great song,0
please check video called quotwe love mind master itquot thanks,1
okay trust favor need check guy named columbus nelson youtube,1
agree damn spammer suck im trying get known know feeling help leave like comment page hope could maybe subscribe would awesome thanks,1
adam beat check page,1
check lyric,1
understand song passion woman feel like im losing mind understand idea loving way someone lie,0
please read hey everyone year old student love sing record upload cover channel would love could check give chance thumb subscribe like hear listen really appreciate thank time,1
anybody else,0
hi lil check love way lie live performance many others video lyric thanks,1
subscribing comment great,1
like mmph version better,0
terrance thank serving country quotlike youquot quotsubscribequot,1
thumb listen,0
hey everyone check channel leave like subscribe please song want post name comment get thanks,1
want make easy money check page tvcmcadavidweebly com dont miss opportunity,1
hi everyone duo starting record freestyle put youtube could check likecomment would mean much u love may best recording equipment listen lyric rhyme think like please subscribe share love making video want like much possible feel free comment give u pointer thank,1
lady check link find hottest hairstyle latest trend woman go site upgrade hairstyle fashion sens higher level get left behind gt googlbxrosr,1
hi bangladesh,0
megan fox,0
fire,0
eminem fan check new song goodquot jdp click link post thank,1
hi guy im upcoming rapper could check channel tell think maybe subscribe like would really appreciate hater welcome thanks,1
check new video made called quotwe love mind master itquot thank much,1
love way lie,0
hey me young coming rapper wan na get music heard know spam wont get fame moment got way getting little attention please favour check channel drop sub enjoy im getting started really appreciate take time leave constructive criticism already got subscriber view first vid ive told potential,1
love way lie ii nicer opinion,0
almost billion,0
person love real music listen quotcruz supatquotbr awesome fuck eminem used,0
also check djj go road recovery,1
charlie got island dated megan fox bbut claire,0
hi guy check remixes thanx great swag,1
please check youtube channel uploaded first youtube video please check regret,1
eminem best rapper time,0
omg guy sound like american professor green,0
thumb think billion view,0
lem me top comment please,0
love song,0
favorite song,0
tryna work rapper check one already channel,1
check berzerk video channel,1
super,0
eminem new song check video,1
check video youtube,1
friend wife earns month want wwhore get type wage working home pc taking survey dont believe shitjust yahoo taking money mean legit please like msg get thru vulnerable people like eminem used,1
subscribe please guy,1
watched video youtube he subscribed channel youtube recentley surpassing justing bieber le sub away beating taylor swift,1
hey me young coming rapper wan na get music heard know spam wont get fame moment got way getting little attention please favour check channel drop sub enjoy im getting started really appreciate take time leave constructive criticism already got subscriber view first vid ive told potential,1
love,0
lil check hi live way lie many check subscribe,1
hello everyone please check video take minute hope ask much help like amp share video please people see thumb would mean much maybe make dream come true thanks everyone god bless,1
watchvaimbwbfqbzg watch subscrible,1
love eminem,0
love lie good,0
still listening,0
hey me young coming rapper wan na get music heard know spam wont get fame moment got way getting little attention please favour check channel drop sub enjoy im getting started really appreciate take time leave constructive criticism already got subscriber view first vid ive told potential,1
eminem rock,0
check youtube video funny cool rap,1
hay honesty wright old love song thank makeing song love song much sometime hart get breaken people kill self go cazzy love much thanks keep go make sure dream comeing rule good luck,0
awesome,0
lovet,0
subscribe like video please,1
subscribed btw good style keep brother,1
